ANIO;MES;UT;UBIGEOCG;NOMDEP;NOMPRO;NOMDIS;NOMCOM;UBIGEO_LOCAL;NOMDEPLOC;NOMPROLOC;NOMDISLOC;CCPP_LOCAL;NOM_CCPP;NOMLOC;SEXO;FECNACUSU;EDAD_USU
2023;12;UT AYACUCHO;51001;AYACUCHO;VICTOR FAJARDO;HUANCAPI;VIRGEN ASUNCION DE HUANCAPI;51009;AYACUCHO;VICTOR FAJARDO;HUANCARAYLLA;510090001;HUANCARAYLLA;HUANCARAYLLA;M;19/10/2021;26
2023;12;UT AYACUCHO;51001;AYACUCHO;VICTOR FAJARDO;HUANCAPI;VIRGEN ASUNCION DE HUANCAPI;51009;AYACUCHO;VICTOR FAJARDO;HUANCARAYLLA;510090001;HUANCARAYLLA;HUANCARAYLLA;F;18/12/2020;36
2023;12;UT AYACUCHO;51001;AYACUCHO;VICTOR FAJARDO;HUANCAPI;VIRGEN ASUNCION DE HUANCAPI;51009;AYACUCHO;VICTOR FAJARDO;HUANCARAYLLA;510090001;HUANCARAYLLA;HUANCARAYLLA;M;13/01/2021;35
2023;12;UT AYACUCHO;51010;AYACUCHO;VICTOR FAJARDO;HUAYA;SAN MIGUEL DE HUALLA;51010;AYACUCHO;VICTOR FAJARDO;HUALLA;510100001;SAN PEDRO DE HUALLA;LOCAL COMUNAL SAN PABLO II;M;18/03/2021;33
2023;12;UT AYACUCHO;51010;AYACUCHO;VICTOR FAJARDO;HUAYA;SAN MIGUEL DE HUALLA;51010;AYACUCHO;VICTOR FAJARDO;HUALLA;510100001;SAN PEDRO DE HUALLA;LOCAL COMUNAL HUALLA II;M;26/02/2021;34
2023;12;UT AYACUCHO;51010;AYACUCHO;VICTOR FAJARDO;HUAYA;SAN MIGUEL DE HUALLA;51010;AYACUCHO;VICTOR FAJARDO;HUALLA;510100001;SAN PEDRO DE HUALLA;LOCAL COMUNAL HUALLA II;M;5/06/2021;30
2023;12;UT AYACUCHO;51010;AYACUCHO;VICTOR FAJARDO;HUAYA;SAN MIGUEL DE HUALLA;51010;AYACUCHO;VICTOR FAJARDO;HUALLA;510100001;SAN PEDRO DE HUALLA;LOCAL COMUNAL HUALLA II;M;8/09/2021;27
2023;12;UT AYACUCHO;51010;AYACUCHO;VICTOR FAJARDO;HUAYA;SAN MIGUEL DE HUALLA;51010;AYACUCHO;VICTOR FAJARDO;HUALLA;510100001;SAN PEDRO DE HUALLA;LOCAL COMUNAL HUALLA II;M;22/11/2021;25
2023;12;UT AYACUCHO;51010;AYACUCHO;VICTOR FAJARDO;HUAYA;SAN MIGUEL DE HUALLA;51010;AYACUCHO;VICTOR FAJARDO;HUALLA;510100001;SAN PEDRO DE HUALLA;LOCAL COMUNAL HUALLA II;F;9/03/2021;33
2023;12;UT AYACUCHO;51010;AYACUCHO;VICTOR FAJARDO;HUAYA;SAN MIGUEL DE HUALLA;51010;AYACUCHO;VICTOR FAJARDO;HUALLA;510100001;SAN PEDRO DE HUALLA;LOCAL COMUNAL HUALLA II;F;18/03/2021;33
