id;ubigeo_colegio_dpto;ubigeo_colegio_prov;ubigeo_colegio_dist;pais_colegio;fecha_egreso_colegio;sexo;fecha_nacimiento;especialidad_de_postulacion;fecha_postulacion;modalidad;ubigeo_direccion_dpto;ubigeo_direccion_prov;ubigeo_direccion_dist;pais_nacimiento;ubigeo_nacimiento_dpto;ubigeo_nacimiento_prov;ubigeo_nacimiento_dist;calificacion_final_postulante;estado_admitido
10ba8947827f69a1693bfe07116d0553;LIMA;LIMA;EL AGUSTINO;PERU;2015;M;1999;INGENIERIA ELECTRICA;2018;EXTRAORDINARIO1 VICTIMAS DEL TERRORISMO (iniciar estudios);LIMA;LIMA;EL AGUSTINO;PERU;LIMA;LIMA;EL AGUSTINO;10.387;NO
81fe2e2f8629c4696ad6669f6751cb12;LIMA;LIMA;LOS OLIVOS;PERU;2015;M;1999;ARQUITECTURA;2018;ORDINARIO;LIMA;LIMA;SAN MARTIN DE PORRES;PERU;LIMA;LIMA;LIMA;11.005;NO
2ad9351337c4b3d3db649914e7fe5cca;LIMA;CANETE;MALA;PERU;2017;M;2001;CIENCIA DE LA COMPUTACION;2018;ORDINARIO;LIMA;CANETE;MALA;PERU;LIMA;LIMA;PUEBLO LIBRE;3.28;NO
47e47407bfd1fdb8c7b92d84c0b21284;LIMA;LIMA;SAN MIGUEL;PERU;2017;M;2001;INGENIERIA DE MINAS;2018;ORDINARIO;LIMA;LIMA;SAN MIGUEL;PERU;LORETO;MAYNAS;IQUITOS;11.587;NO
81c717182c9a55847f95ea726cfda6f0;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;2005;M;2000;INGENIERIA MECANICA;2018;ORDINARIO;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;PUNO;HUANCANE;ROSASPATA;6.302;NO
2be389eaffbe5db0ee35bb3cf5d03318;LIMA;LIMA;SAN MARTIN DE PORRES;PERU;2016;M;1999;INGENIERIA CIVIL;2018;ORDINARIO;LIMA;LIMA;SAN MARTIN DE PORRES;PERU;LIMA;LIMA;SAN MARTIN DE PORRES;14.597;SI
f9b2880edc0c077f748c01960be203c0;LIMA;LIMA;CHORRILLOS;PERU;2015;M;1998;INGENIERIA CIVIL;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;CHORRILLOS;PERU;LIMA;LIMA;JESUS MARIA;16.518;SI
67471309c49d1d5b558ad86a47c4d7b7;LIMA;LIMA;SANTA ANITA;PERU;2016;M;2000;INGENIERIA DE TELECOMUNICACIONES;2018;ORDINARIO;LIMA;LIMA;SANTA ANITA;PERU;LIMA;LIMA;LIMA;9.419;NO
a6484fe15d75c66082ae757b7f5cdbd8;CUSCO;CUSCO;CUSCO;PERU;2016;M;2000;INGENIERIA MECATRONICA;2018;ORDINARIO;LIMA;LIMA;LIMA;PERU;CUSCO;CUSCO;CUSCO;9.911;NO
cbd72467af76482c8dd02c0df722c631;LIMA;LIMA;LA MOLINA;PERU;2016;M;1999;INGENIERIA DE SISTEMAS;2018;ORDINARIO;LIMA;LIMA;LA MOLINA;PERU;LIMA;LIMA;PUEBLO LIBRE;11.046;NO
01ce3a5a2ad7b5667cd2080810a3f9d2;LIMA;LIMA;SAN MARTIN DE PORRES;PERU;2017;M;2001;CIENCIA DE LA COMPUTACION;2018;ORDINARIO;LIMA;LIMA;SAN MARTIN DE PORRES;PERU;CALLAO;PROV. CONST. DEL CALLAO;BELLAVISTA;12.34;SI
41cd78011969d38c4158ecaf0bccb57b;LIMA;LIMA;CHORRILLOS;PERU;2017;M;2001;INGENIERIA ELECTRONICA;2018;ORDINARIO;LIMA;LIMA;LIMA;PERU;LIMA;LIMA;LIMA;8.341;NO
5be0148a5357e1e40c67c068e9ebac75;LIMA;LIMA;COMAS;PERU;2013;M;1997;INGENIERIA NAVAL;2018;ORDINARIO;LIMA;LIMA;COMAS;PERU;LIMA;LIMA;COMAS;6.992;NO
2cfc69510e3549510827fa5a1f1ba4b3;LIMA;LIMA;SAN MARTIN DE PORRES;PERU;2016;M;2000;INGENIERIA QUIMICA;2018;ORDINARIO;LIMA;LIMA;SAN JUAN DE MIRAFLORES;PERU;CUSCO;ANTA;ANTA;7.46;NO
a9175bd2404679cdff33b0e736c2b690;LIMA;HUAURA;HUACHO;PERU;2017;F;2001;ARQUITECTURA;2018;ORDINARIO;LIMA;LIMA;LIMA;PERU;LIMA;LIMA;LIMA;2.536;NO
6b27c58d0e1d635897f93ffc9ecfb96c;LIMA;LIMA;CARABAYLLO;PERU;2015;M;1999;INGENIERIA CIVIL;2018;ORDINARIO;LIMA;LIMA;SAN MARTIN DE PORRES;PERU;ICA;CHINCHA;GROCIO PRADO;10.82;NO
34cddc339e783bfe79e307963f629fcd;CALLAO;PROV. CONST. DEL CALLAO;VENTANILLA;PERU;2016;M;2000;INGENIERIA QUIMICA;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;CALLAO;PROV. CONST. DEL CALLAO;VENTANILLA;PERU;LIMA;LIMA;JESUS MARIA;8.396;NO
